Timestamp,Ticket,Action,Volume,Price,Realized_PnL,Reason
2026-09-21 19:12:00,2376415131,OPEN,0.01,4346.19,0.0,Momentum
2026-09-21 19:12:00,2376415140,OPEN,0.01,4346.19,0.0,Momentum
2026-09-21 19:14:17,2376417295,OPEN,0.01,4346.28,0.0,Momentum
2026-09-21 19:14:18,2376417296,OPEN,0.01,4346.28,0.0,Momentum
2026-09-21 19:16:57,2376419651,OPEN,0.01,4346.32,0.0,Momentum
2026-09-21 19:16:57,2376419652,OPEN,0.01,4346.32,0.0,Momentum
2026-09-21 19:23:16,2376428360,OPEN,0.01,4346.69,0.0,Momentum
2026-09-21 19:23:16,2376428364,OPEN,0.01,4346.69,0.0,Momentum
2026-09-21 19:27:41,2376428360,CLOSE,0.01,4347.94,1.25,CAPPED_TARGET_HIT
2026-09-21 19:27:41,2376428364,CLOSE,0.01,4348.63,1.25,CAPPED_TARGET_HIT
2026-09-21 19:27:41,2376433770,OPEN,0.01,4348.36,0.0,Momentum
2026-09-21 19:27:42,2376433796,OPEN,0.01,4348.36,0.0,Momentum
2026-09-21 19:27:55,2376434741,OPEN,0.01,4349.11,0.0,Momentum
2026-09-21 19:27:55,2376434751,OPEN,0.01,4349.11,0.0,Momentum
2026-09-21 19:28:10,2376434741,CLOSE,0.01,4350.61,1.5,CAPPED_TARGET_HIT
2026-09-21 19:28:10,2376434751,CLOSE,0.01,4350.35,1.5,CAPPED_TARGET_HIT
2026-09-21 19:28:14,2376435613,OPEN,0.01,4350.34,0.0,Momentum
2026-09-21 19:28:14,2376435920,OPEN,0.01,4350.23,0.0,Momentum
2026-09-21 19:31:30,2376439793,OPEN,0.01,4350.61,0.0,Momentum
2026-09-21 19:31:30,2376439795,OPEN,0.01,4350.61,0.0,Momentum
2026-09-21 19:31:45,2376439795,CLOSE,0.01,4351.21,0.6,CAPPED_TARGET_HIT
2026-09-21 19:31:45,2376440641,OPEN,0.01,4351.26,0.0,Momentum
2026-09-21 19:31:45,2376440644,OPEN,0.01,4351.26,0.0,Momentum
2026-09-21 19:31:56,2376440841,OPEN,0.01,4351.39,0.0,Momentum
2026-09-21 19:31:56,2376440842,OPEN,0.01,4351.39,0.0,Momentum
2026-09-21 19:32:32,2376441880,OPEN,0.01,4352.12,0.0,Momentum
2026-09-21 19:32:32,2376441882,OPEN,0.01,4352.12,0.0,Momentum
2026-09-21 19:34:35,2376447546,OPEN,0.01,4352.81,0.0,Momentum
2026-09-21 19:34:35,2376447553,OPEN,0.01,4352.81,0.0,Momentum
