Timestamp,Ticket,Event,Type,Volume,Price,Realized_PnL,Comment
2026-09-20 22:17:29,2372914792,OPEN,BUY,1.0,81138.54000000001,0.0,Success
2026-09-20 22:17:30,2372914805,OPEN,BUY,1.0,81139.36,0.0,Success
2026-09-20 22:17:31,2372914820,OPEN,BUY,1.0,81128.25,0.0,Success
2026-09-20 22:17:32,2372914828,OPEN,BUY,1.0,81124.08,0.0,Success
2026-09-20 22:17:32,2372914865,OPEN,SELL,1.0,81123.79000000001,0.0,Success
2026-09-20 22:17:33,2372914878,OPEN,SELL,1.0,81123.79000000001,0.0,Success
2026-09-20 22:17:34,2372914889,OPEN,SELL,1.0,81119.67,0.0,Success
2026-09-20 22:17:35,2372914895,OPEN,SELL,1.0,81119.49,0.0,Success
2026-09-20 22:18:03,2372914889,CLOSED_TP,N/A,1.0,81079.67,31.25,Target Hit
2026-09-20 22:18:03,2372914865,CLOSED_TP,N/A,1.0,81084.08,30.96,Target Hit
2026-09-20 22:18:03,2372914878,CLOSED_TP,N/A,1.0,81083.79,31.25,Target Hit
2026-09-20 22:18:03,2372914895,CLOSED_TP,N/A,1.0,81079.67,31.07,Target Hit
2026-09-20 22:18:03,2372915889,OPEN,SELL,1.0,81078.5,0.0,Success
2026-09-20 22:18:04,2372915941,OPEN,SELL,1.0,81074.18000000001,0.0,Success
2026-09-20 22:18:05,2372915966,OPEN,SELL,1.0,81070.04000000001,0.0,Success
2026-09-20 22:18:05,2372915982,OPEN,SELL,1.0,81070.04000000001,0.0,Success
2026-09-20 22:18:51,2372914828,CLOSED_TP,N/A,1.0,81168.25,35.42,Target Hit
2026-09-20 22:18:51,2372916993,OPEN,BUY,1.0,81169.64,0.0,Success
2026-09-20 22:35:31,2372914792,CLOSED_TP,N/A,1.0,81178.54,31.25,Target Hit
2026-09-20 22:35:31,2372914820,CLOSED_TP,N/A,1.0,81179.36,42.36,Target Hit
2026-09-20 22:35:31,2372914805,CLOSED_TP,N/A,1.0,81179.36,31.25,Target Hit
2026-09-20 22:35:32,2372932774,OPEN,BUY,1.0,81179.64,0.0,Success
2026-09-20 22:35:32,2372932784,OPEN,BUY,1.0,81174.75,0.0,Success
2026-09-20 22:35:33,2372932792,OPEN,BUY,1.0,81174.75,0.0,Success
2026-09-20 22:39:12,2372916993,CLOSED_TP,N/A,1.0,81209.64,31.25,Target Hit
2026-09-20 22:39:12,2372936096,OPEN,BUY,1.0,81214.16,0.0,Success
2026-09-20 22:39:13,2372932784,CLOSED_TP,N/A,1.0,81219.64,36.14,Target Hit
2026-09-20 22:39:13,2372932792,CLOSED_TP,N/A,1.0,81214.75,31.25,Target Hit
2026-09-20 22:39:13,2372932774,CLOSED_TP,N/A,1.0,81219.64,31.25,Target Hit
2026-09-20 22:39:14,2372936132,OPEN,BUY,1.0,81227.39,0.0,Success
2026-09-20 22:39:15,2372936143,OPEN,BUY,1.0,81227.39,0.0,Success
2026-09-20 22:39:15,2372936151,OPEN,BUY,1.0,81223.85,0.0,Success
2026-09-20 22:39:23,2372936096,CLOSED_TP,N/A,1.0,81249.99,27.08,Target Hit
2026-09-20 22:39:23,2372936301,OPEN,BUY,1.0,81250.12,0.0,Success
