Timestamp,Ticket,Event,Type,Volume,Price,Realized_PnL,Comment
2026-09-20 23:33:25,2373002808,OPEN,SELL,0.25,81132.73,0.0,Tranche_1
2026-09-20 23:33:26,2373002809,OPEN,SELL,0.25,81133.55,0.0,Tranche_2
2026-09-20 23:33:26,2373002813,OPEN,SELL,0.25,81133.55,0.0,Tranche_3
2026-09-20 23:33:27,2373002882,OPEN,SELL,0.25,81133.5,0.0,Tranche_4
2026-09-21 07:53:14,2374116477,OPEN,BUY,0.25,81633.1,0.0,Tranche_1
2026-09-21 07:53:15,2374116497,OPEN,BUY,0.25,81613.97,0.0,Tranche_2
2026-09-21 07:53:16,2374116527,OPEN,BUY,0.25,81613.97,0.0,Tranche_3
2026-09-21 07:53:16,2374116546,OPEN,BUY,0.25,81613.16,0.0,Tranche_4
2026-09-21 07:55:01,2374116497,SL_MODIFIED,BUY,0.25,81636.1,0.0,BreakEven_Lock
2026-09-21 07:55:01,2374116527,SL_MODIFIED,BUY,0.25,81636.1,0.0,BreakEven_Lock
2026-09-21 07:55:02,2374116546,SL_MODIFIED,BUY,0.25,81636.1,0.0,BreakEven_Lock
2026-09-21 08:08:32,2374170221,OPEN,BUY,0.25,81984.37,0.0,Tranche_1
2026-09-21 08:08:32,2374170243,OPEN,BUY,0.25,81985.77,0.0,Tranche_2
2026-09-21 08:08:33,2374170279,OPEN,BUY,0.25,81985.77,0.0,Tranche_3
2026-09-21 08:08:34,2374170307,OPEN,BUY,0.25,81986.13,0.0,Tranche_4
