Timestamp,Bot_ID,Ticket,Action,Volume,Entry_Price,Exit_Price,Realized_PnL,Reason
2026-09-22 18:56:01,BOT_1,2380027026,OPEN,0.01,4351.74,0.0,0.0,Initial_L1
2026-09-22 19:03:02,BOT_1,2380039082,OPEN,0.01,4353.96,0.0,0.0,Initial_L1
2026-09-22 19:03:40,BOT_1,2380039869,OPEN,0.01,4353.98,0.0,0.0,Initial_L1
2026-09-22 19:04:47,BOT_1,2380041115,OPEN,0.01,4354.76,0.0,0.0,Pyramid_L2
2026-09-22 19:05:10,BOT_1,2380041817,OPEN,0.01,4355.17,0.0,0.0,Pyramid_L3
2026-09-22 19:06:15,BOT_1,2380043738,OPEN,0.01,4356.28,0.0,0.0,Pyramid_L2
2026-09-22 19:06:33,BOT_1,2380044361,OPEN,0.01,4356.71,0.0,0.0,Pyramid_L3
2026-09-22 19:08:12,BOT_1,2380046687,OPEN,0.01,4357.48,0.0,0.0,Pyramid_L2
2026-09-22 19:11:18,BOT_1,2380050616,OPEN,0.01,4358.33,0.0,0.0,Pyramid_L2
2026-09-22 19:12:04,BOT_1,2380052104,OPEN,0.01,4358.42,0.0,0.0,Initial_L1
2026-09-22 19:25:32,BOT_1,2380068812,OPEN,0.01,4359.66,0.0,0.0,Pyramid_L2
2026-09-22 19:25:36,BOT_1,2380069239,OPEN,0.01,4360.28,0.0,0.0,Pyramid_L3
2026-09-22 19:25:44,BOT_1,2380070129,OPEN,0.01,4360.71,0.0,0.0,Initial_L1
2026-09-22 19:27:13,BOT_1,2380070129,CLOSE,0.01,4360.71,4357.69,-3.02,UNIT_SL_HIT
2026-09-22 19:27:15,BOT_1,2380072611,OPEN,0.01,4357.97,0.0,0.0,Initial_L1
2026-09-22 19:27:21,BOT_1,2380072859,OPEN,0.01,4358.77,0.0,0.0,Pyramid_L2
2026-09-22 19:27:26,BOT_1,2380073026,OPEN,0.01,4358.37,0.0,0.0,Pyramid_L3
2026-09-22 19:28:46,BOT_1,2380075019,OPEN,0.01,4359.11,0.0,0.0,Pyramid_L2
2026-09-22 19:29:36,BOT_1,2380076529,OPEN,0.01,4360.24,0.0,0.0,Pyramid_L2
2026-09-22 19:30:13,BOT_1,2380077567,OPEN,0.01,4361.45,0.0,0.0,Pyramid_L2
2026-09-22 19:30:37,BOT_1,2380078139,OPEN,0.01,4361.61,0.0,0.0,Pyramid_L3
