Timestamp,Ticket,Action,Volume,Price,Realized_PnL,Reason
2026-09-21 19:11:53,2376414827,OPEN,0.01,4346.02,0.0,Momentum
2026-09-21 19:11:53,2376414856,OPEN,0.01,4346.02,0.0,Momentum
2026-09-21 19:14:17,2376417282,OPEN,0.01,4346.41,0.0,Momentum
2026-09-21 19:14:17,2376417283,OPEN,0.01,4346.41,0.0,Momentum
2026-09-21 19:23:16,2376428361,OPEN,0.01,4346.69,0.0,Momentum
2026-09-21 19:23:16,2376428365,OPEN,0.01,4346.69,0.0,Momentum
2026-09-21 19:26:58,2376432461,OPEN,0.01,4347.76,0.0,Momentum
2026-09-21 19:26:58,2376432464,OPEN,0.01,4347.76,0.0,Momentum
2026-09-21 19:28:22,2376436210,OPEN,0.01,4350.28,0.0,Momentum
2026-09-21 19:28:22,2376436215,OPEN,0.01,4350.12,0.0,Momentum
2026-09-21 19:31:31,2376439814,OPEN,0.01,4350.73,0.0,Momentum
2026-09-21 19:31:31,2376439823,OPEN,0.01,4350.73,0.0,Momentum
2026-09-21 19:31:45,2376440640,OPEN,0.01,4351.26,0.0,Momentum
2026-09-21 19:31:45,2376440643,OPEN,0.01,4351.26,0.0,Momentum
2026-09-21 19:31:56,2376440843,OPEN,0.01,4351.39,0.0,Momentum
2026-09-21 19:31:57,2376440844,OPEN,0.01,4351.39,0.0,Momentum
2026-09-21 19:32:22,2376441323,OPEN,0.01,4351.77,0.0,Momentum
2026-09-21 19:32:22,2376441326,OPEN,0.01,4351.77,0.0,Momentum
2026-09-21 19:34:18,2376445875,OPEN,0.01,4352.45,0.0,Momentum
2026-09-21 19:34:18,2376445876,OPEN,0.01,4352.45,0.0,Momentum
2026-09-21 19:34:28,2376446573,OPEN,0.01,4352.72,0.0,Momentum
2026-09-21 19:34:28,2376446578,OPEN,0.01,4352.72,0.0,Momentum
2026-09-21 19:35:30,2376449305,OPEN,0.01,4353.03,0.0,Momentum
2026-09-21 19:35:30,2376449309,OPEN,0.01,4353.03,0.0,Momentum
2026-09-21 19:39:36,2376453736,OPEN,0.01,4353.39,0.0,Momentum
2026-09-21 19:39:36,2376453748,OPEN,0.01,4353.39,0.0,Momentum
2026-09-21 19:43:16,2376453748,CLOSE,0.01,4348.11,-5.28,STOP_HIT
2026-09-21 19:44:20,2376462679,OPEN,0.01,4348.25,0.0,Momentum
2026-09-21 19:44:20,2376462695,OPEN,0.01,4348.25,0.0,Momentum
2026-09-21 19:45:04,2376463788,OPEN,0.01,4347.57,0.0,Momentum
2026-09-21 19:45:04,2376463794,OPEN,0.01,4347.49,0.0,Momentum
2026-09-21 19:45:06,2376463967,OPEN,0.01,4347.14,0.0,Momentum
2026-09-21 19:45:06,2376463969,OPEN,0.01,4347.14,0.0,Momentum
2026-09-21 19:48:57,2376469052,OPEN,0.01,4346.75,0.0,Momentum
2026-09-21 19:48:57,2376469056,OPEN,0.01,4346.69,0.0,Momentum
2026-09-21 19:49:38,2376469612,OPEN,0.01,4346.49,0.0,Momentum
2026-09-21 19:49:38,2376469613,OPEN,0.01,4346.49,0.0,Momentum
2026-09-21 19:49:50,2376469783,OPEN,0.01,4346.06,0.0,Momentum
2026-09-21 19:49:50,2376469786,OPEN,0.01,4346.06,0.0,Momentum
2026-09-21 19:50:06,2376470115,OPEN,0.01,4345.61,0.0,Momentum
2026-09-21 19:50:06,2376470122,OPEN,0.01,4345.61,0.0,Momentum
2026-09-21 19:51:30,2376471697,OPEN,0.01,4345.05,0.0,Momentum
2026-09-21 19:51:30,2376471699,OPEN,0.01,4345.05,0.0,Momentum
2026-09-21 20:00:06,2376479357,OPEN,0.01,4344.81,0.0,Momentum
2026-09-21 20:00:06,2376479363,OPEN,0.01,4344.83,0.0,Momentum
2026-09-21 20:00:18,2376479928,OPEN,0.01,4343.85,0.0,Momentum
2026-09-21 20:00:18,2376479931,OPEN,0.01,4343.85,0.0,Momentum
2026-09-21 20:00:37,2376480611,OPEN,0.01,4343.23,0.0,Momentum
2026-09-21 20:00:37,2376480612,OPEN,0.01,4343.23,0.0,Momentum
2026-09-21 20:01:00,2376481247,OPEN,0.01,4342.56,0.0,Momentum
2026-09-21 20:01:00,2376481250,OPEN,0.01,4342.64,0.0,Momentum
2026-09-21 20:01:09,2376481934,OPEN,0.01,4342.38,0.0,Momentum
2026-09-21 20:16:05,2376493909,OPEN,0.01,4341.28,0.0,Momentum
2026-09-21 20:17:28,2376495352,OPEN,0.01,4340.51,0.0,Momentum
2026-09-21 20:31:14,2376509987,OPEN,0.01,4339.78,0.0,Momentum
2026-09-21 20:31:15,2376510003,OPEN,0.01,4339.78,0.0,Momentum
2026-09-22 05:01:15,2377280257,OPEN,0.01,4342.18,0.0,Momentum
2026-09-22 05:01:16,2377280270,OPEN,0.01,4342.01,0.0,Momentum
2026-09-22 05:01:28,2377280554,OPEN,0.01,4342.98,0.0,Momentum
2026-09-22 05:01:28,2377280580,OPEN,0.01,4342.71,0.0,Momentum
2026-09-22 05:02:26,2377282386,OPEN,0.01,4343.28,0.0,Momentum
2026-09-22 05:02:26,2377282388,OPEN,0.01,4343.28,0.0,Momentum
2026-09-22 05:03:05,2377284183,OPEN,0.01,4343.51,0.0,Momentum
